CountryName,RegionName,Date,PredictedDailyNewCases
Aruba,,2020-08-01,1.120969933945691
Aruba,,2020-08-02,0.15341898940335477
Aruba,,2020-08-03,0.1528647283111686
Aruba,,2020-08-04,0.1452782332721921
Aruba,,2020-08-05,0.12640737968866073
Afghanistan,,2020-08-01,40.822121724173655
Afghanistan,,2020-08-02,108.55345412013531
Afghanistan,,2020-08-03,95.34973318355283
Afghanistan,,2020-08-04,96.02137593549811
Afghanistan,,2020-08-05,95.43655528499073
Angola,,2020-08-01,42.65445815203435
Angola,,2020-08-02,22.26653834014577
Angola,,2020-08-03,23.34687450035956
Angola,,2020-08-04,55.02177763625893
Angola,,2020-08-05,82.587486895752
Albania,,2020-08-01,74.11144366046832
Albania,,2020-08-02,131.77827415956375
Albania,,2020-08-03,122.29317791431787
Albania,,2020-08-04,121.74069879769677
Albania,,2020-08-05,112.61957099918517
Andorra,,2020-08-01,3.106646602148997
Andorra,,2020-08-02,3.2283205140854627
Andorra,,2020-08-03,13.243124138727023
Andorra,,2020-08-04,3.0992772046278696
Andorra,,2020-08-05,13.829969452111627
United Arab Emirates,,2020-08-01,336.71134113315344
United Arab Emirates,,2020-08-02,370.0293503501177
United Arab Emirates,,2020-08-03,279.181037166873
United Arab Emirates,,2020-08-04,380.1227892813715
United Arab Emirates,,2020-08-05,384.0900234043233
Argentina,,2020-08-01,5179.9467116244705
Argentina,,2020-08-02,4536.098601073765
Argentina,,2020-08-03,5238.5863773896335
Argentina,,2020-08-04,6262.51738323181
Argentina,,2020-08-05,5948.10927301714
Australia,,2020-08-01,572.4487630093241
Australia,,2020-08-02,646.9840342041578
Australia,,2020-08-03,475.4361175491797
Australia,,2020-08-04,378.60067786554913
Australia,,2020-08-05,807.6837832202791
Austria,,2020-08-01,127.22517487846376
Austria,,2020-08-02,162.47003846692346
Austria,,2020-08-03,120.74923675080568
Austria,,2020-08-04,109.27701883152923
Austria,,2020-08-05,103.59801771150318
Burundi,,2020-08-01,15.477833683472664
Burundi,,2020-08-02,0.0
Burundi,,2020-08-03,16.355117701316217
Burundi,,2020-08-04,0.0
Burundi,,2020-08-05,8.504749424517273
Belgium,,2020-08-01,772.9220754815501
Belgium,,2020-08-02,547.1089541843048
Belgium,,2020-08-03,645.0799250048346
Belgium,,2020-08-04,469.9362022785794
Belgium,,2020-08-05,895.1600438503963
Burkina Faso,,2020-08-01,11.254251389724335
Burkina Faso,,2020-08-02,0.2467523709370238
Burkina Faso,,2020-08-03,14.338497452092753
Burkina Faso,,2020-08-04,5.439532006903505
Burkina Faso,,2020-08-05,0.4571958779745086
Bangladesh,,2020-08-01,2496.8229262710643
Bangladesh,,2020-08-02,2260.150872751614
Bangladesh,,2020-08-03,2764.703871472014
Bangladesh,,2020-08-04,2950.165363777166
Bangladesh,,2020-08-05,3001.476245750459
Bulgaria,,2020-08-01,182.73242488254226
Bulgaria,,2020-08-02,110.3494412433637
Bulgaria,,2020-08-03,191.17328367312746
Bulgaria,,2020-08-04,249.2019918997903
Bulgaria,,2020-08-05,283.47733303173044
Bahrain,,2020-08-01,270.32066125044145
Bahrain,,2020-08-02,360.6006552851513
Bahrain,,2020-08-03,323.27031759064084
Bahrain,,2020-08-04,405.92838856866285
